Time;Meting
0.00;0.00
10.00;6.98
20.00;0.00
30.00;13.96
41.00;6.98
52.00;6.98
62.00;6.98
72.00;20.94
83.00;12.69
94.00;20.94
104.00;13.96
115.00;27.93
125.00;12.69
137.00;23.27
147.00;20.94
157.00;20.94
168.00;19.04
179.00;27.93
190.00;31.03
200.00;20.94
210.00;25.39
222.00;27.93
232.00;20.94
243.00;31.03
253.00;25.39
264.00;27.93
275.00;31.03
285.00;27.93
296.00;27.93
307.00;27.93
317.00;27.93
328.00;38.79
338.00;25.39
349.00;34.91
360.00;27.93
370.00;27.93
381.00;34.91
392.00;27.93
402.00;27.93
413.00;27.93
423.00;31.73
435.00;38.79
445.00;27.93
455.00;27.93
466.00;25.39
477.00;27.93
488.00;31.03
498.00;27.93
508.00;25.39
520.00;27.93
530.00;27.93
541.00;38.79
551.00;31.73
562.00;27.93
573.00;38.79
583.00;34.91
593.00;25.39
605.00;34.91
615.00;34.91
626.00;31.03
636.00;31.73
647.00;27.93
658.00;27.93
668.00;27.93
679.00;27.93
690.00;34.91
700.00;27.93
711.00;34.91
721.00;31.73
733.00;31.03
743.00;34.91
753.00;34.91
764.00;25.39
775.00;34.91
786.00;38.79
796.00;27.93
806.00;25.39
818.00;34.91
828.00;27.93
839.00;31.03
849.00;25.39
860.00;27.93
871.00;31.03
881.00;34.91
892.00;27.93
903.00;27.93
913.00;34.91
924.00;31.03
934.00;25.39
945.00;34.91
956.00;34.91
966.00;27.93
977.00;34.91
988.00;27.93
998.00;27.93
1009.00;34.91
1019.00;31.73
1031.00;27.93
1041.00;34.91
1052.00;38.79
1062.00;25.39
1074.00;38.79
1084.00;34.91
1094.00;27.93
1105.00;25.39
1116.00;34.91
1127.00;27.93
1137.00;34.91
1148.00;25.39
1159.00;27.93
1170.00;38.79
1180.00;34.91
1191.00;27.93
1202.00;34.91
1212.00;34.91
1223.00;27.93
1233.00;25.39
1245.00;34.91
1255.00;27.93
1266.00;27.93
1276.00;31.73
1288.00;31.03
1298.00;27.93
1309.00;31.03
1319.00;25.39
1330.00;27.93
1341.00;34.91
1351.00;27.93
1362.00;31.73
1373.00;34.91
1384.00;27.93
1394.00;27.93
1405.00;27.93
1416.00;27.93
1427.00;38.79
1437.00;27.93
1447.00;31.73
1459.00;27.93
1469.00;27.93
1480.00;34.91
1490.00;25.39
1502.00;27.93
1512.00;27.93
1523.00;31.03
1533.00;31.73
1545.00;31.03
1555.00;27.93
1566.00;38.79
1576.00;25.39
1587.00;27.93
1598.00;27.93
1608.00;27.93
1619.00;31.73
1630.00;27.93
1641.00;38.79
1651.00;27.93
1662.00;27.93
1673.00;27.93
1684.00;31.03
1694.00;27.93
1704.00;25.39
1716.00;27.93
1726.00;34.91
1737.00;27.93
1747.00;31.73
1759.00;34.91
1769.00;27.93
1780.00;31.03
1790.00;25.39
1802.00;31.03
1812.00;34.91
1822.00;34.91
1833.00;31.73
1844.00;27.93
1855.00;27.93
1865.00;34.91
1876.00;31.73
1887.00;27.93
1898.00;31.03
1908.00;27.93
1920.00;38.79
1930.00;27.93
1940.00;34.91
1951.00;27.93
1961.00;25.39
1973.00;27.93
1983.00;27.93
1994.00;34.91
2004.00;25.39
2016.00;31.03
2026.00;34.91
2037.00;38.79
2048.00;27.93
2058.00;27.93
2069.00;27.93
2079.00;34.91
2091.00;34.91
2101.00;27.93
2112.00;34.91
2122.00;34.91
