Time;Meting
0;74.07
10;0
20;133.33
30;200
41;181.82
52;266.67
63;222.22
73;266.67
83;303.03
95.00;466.67
105;466.67
116;370.37
126.00;303.03
137.00;400
148.00;333.33
158;333.33
169.00;424.24
180.00;466.67
191.00;370.37
201.00;333.33
212.00;333.33
223.00;400
233.00;333.33
244.00;333.33
254.00;303.03
266.00;333.33
276.00;400
287.00;444.44
297.00;303.03
309.00;370.37
319.00;400
329.00;333.33
340.00;363.64
351.00;333.33
362.00;444.44
372.00;333.33
384.00;370.37
394.00;400
404.00;333.33
415.00;333.33
425.00;303.03
437.00;333.33
447.00;333.33
458.00;370.37
468.00;363.64
480.00;444.44
490.00;400
500.00;400
512.00;400
522.00;333.33
533.00;333.33
543.00;266.67
555.00;370.37
565.00;333.33
576.00;370.37
586.00;400
596.00;363.64
608.00;400
618.00;400
629.00;363.64
640.00;400
651.00;370.37
661.00;400
671.00;333.33
683.00;333.33
693.00;333.33
704.00;333.33
714.00;400
726.00;444.44
736.00;333.33
747.00;370.37
757.00;363.64
768.00;333.33
779.00;333.33
789.00;333.33
800.00;363.64
811.00;333.33
822.00;370.37
832.00;400
843.00;444.44
854.00;400
864.00;333.33
875.00;333.33
885.00;303.03
897.00;266.67
907.00;333.33
918.00;444.44
928.00;303.03
940.00;444.44
950.00;400
960.00;400
971.00;363.64
982.00;400
993.00;370.37
1003.00;333.33
1014.00;333.33
1025.00;333.33
1036.00;444.44
1046.00;266.67
1057.00;400
1068.00;333.33
1079.00;444.44
1089.00;400
1100.00;400
1111.00;400
1122.00;444.44
1132.00;400
1143.00;400
1154.00;400
1165.00;444.44
1175.00;333.33
1186.00;333.33
1197.00;400
1207.00;400
1218.00;333.33
1228.00;363.64
1240.00;333.33
1250.00;400
1261.00;400
1271.00;363.64
1283.00;400
1293.00;400
1304.00;333.33
1314.00;303.03
1326.00;333.33
1336.00;333.33
1347.00;333.33
1357.00;303.03
1369.00;333.33
1379.00;333.33
1390.00;333.33
1400.00;363.64
1412.00;400
1422.00;400
1433.00;466.67
1443.00;363.64
1455.00;333.33
1465.00;333.33
1476.00;333.33
1486.00;303.03
1498.00;400
1508.00;333.33
1519.00;444.44
1529.00;303.03
1541.00;444.44
1551.00;400
1562.00;444.44
1572.00;363.64
1584.00;444.44
1594.00;333.33
1605.00;444.44
1615.00;303.03
1627.00;370.37
1637.00;333.33
1648.00;296.3
1658.00;363.64
1670.00;370.37
1680.00;333.33
1691.00;370.37
1701.00;363.64
1713.00;444.44
1723.00;333.33
1734.00;444.44
1744.00;303.03
1756.00;370.37
1766.00;333.33
1777.00;370.37
1787.00;303.03
1799.00;518.52
1809.00;333.33
1819.00;400
1830.00;363.64
1841.00;333.33
1852.00;333.33
1862.00;400
1873.00;363.64
1884.00;400
1895.00;400
1905.00;400
1916.00;363.64
1927.00;333.33
1938.00;333.33
1948.00;333.33
1959.00;303.03
1970.00;400
1981.00;333.33
1991.00;333.33
2002.00;303.03
2013.00;333.33
2024.00;400
2034.00;400
2045.00;363.64
2056.00;333.33
2067.00;400
2077.00;333.33
2088.00;303.03
2099.00;333.33
2110.00;444.44
2120.00;333.33
2131.00;333.33
