Time;Meting
0;0
10;133.33
20;133.33
31;222.22
41;181.82
52;333.33
63;592.59
73;266.67
83;303.03
95.00;400
105;333.33
116;444.44
126.00;303.03
138.00;370.37
148.00;333.33
158;400
169.00;303.03
180.00;333.33
191.00;333.33
201.00;333.33
212.00;400
223.00;400
234.00;444.44
244.00;400
254.00;363.64
266.00;400
276.00;400
287.00;444.44
297.00;303.03
309.00;370.37
319.00;400
329.00;333.33
340.00;303.03
351.00;333.33
362.00;333.33
372.00;333.33
384.00;370.37
394.00;333.33
405.00;444.44
415.00;333.33
425.00;363.64
437.00;400
447.00;400
458.00;400
468.00;363.64
480.00;444.44
490.00;400
500.00;333.33
512.00;333.33
522.00;400
533.00;333.33
543.00;400
555.00;370.37
565.00;333.33
576.00;370.37
586.00;400
596.00;303.03
608.00;400
618.00;400
629.00;363.64
640.00;400
651.00;444.44
661.00;400
671.00;333.33
683.00;400
693.00;333.33
704.00;466.67
714.00;400
726.00;444.44
736.00;333.33
747.00;370.37
757.00;303.03
768.00;400
779.00;333.33
789.00;333.33
800.00;424.24
811.00;400
822.00;444.44
832.00;400
843.00;444.44
854.00;333.33
864.00;333.33
875.00;333.33
885.00;363.64
897.00;518.52
907.00;400
918.00;370.37
928.00;303.03
939.00;400
950.00;400
960.00;333.33
971.00;303.03
982.00;400
993.00;370.37
1003.00;400
1014.00;400
1025.00;400
1036.00;444.44
1046.00;400
1057.00;400
1068.00;466.67
1079.00;444.44
1089.00;400
1100.00;400
1111.00;400
1122.00;370.37
1132.00;333.33
1142.00;303.03
1154.00;333.33
1164.00;400
1175.00;400
1185.00;303.03
1197.00;400
1207.00;333.33
1218.00;400
1228.00;303.03
1240.00;333.33
1250.00;333.33
1261.00;400
1271.00;303.03
1283.00;333.33
1293.00;333.33
1304.00;333.33
1314.00;363.64
1326.00;400
1336.00;466.67
1347.00;400
1357.00;363.64
1369.00;533.33
1379.00;466.67
1390.00;466.67
1400.00;484.85
1412.00;466.67
1422.00;400
1433.00;518.52
1443.00;303.03
1455.00;370.37
1465.00;400
1476.00;370.37
1486.00;424.24
1498.00;444.44
1508.00;333.33
1519.00;518.52
1529.00;424.24
1541.00;444.44
1551.00;333.33
1562.00;592.59
1572.00;303.03
1584.00;444.44
1594.00;333.33
1605.00;370.37
1615.00;363.64
1627.00;444.44
1637.00;400
1648.00;518.52
1658.00;303.03
1670.00;592.59
1680.00;400
1691.00;740.74
1701.00;303.03
1713.00;518.52
1723.00;400
1734.00;370.37
1744.00;545.45
1756.00;370.37
1766.00;333.33
1777.00;518.52
1787.00;303.03
1798.00;400
1809.00;400
1819.00;333.33
1830.00;363.64
1841.00;466.67
1852.00;333.33
1862.00;533.33
1873.00;303.03
1884.00;400
1895.00;333.33
1905.00;466.67
1916.00;363.64
1927.00;466.67
1938.00;400
1948.00;400
1959.00;363.64
1970.00;400
1981.00;466.67
1991.00;466.67
2002.00;303.03
2013.00;400
2024.00;400
2034.00;533.33
2045.00;484.85
2056.00;466.67
2067.00;333.33
2077.00;333.33
2088.00;303.03
2099.00;400
2110.00;518.52
2120.00;466.67
2131.00;333.33
