Time;Meting
0;74.07
10;66.67
20;200
31;222.22
41;424.24
52;400
63;333.33
73;533.33
84;400
95.00;466.67
105;533.33
116;466.67
126.00;303.03
138.00;370.37
148.00;333.33
159;370.37
169.00;363.64
180.00;333.33
191.00;333.33
201.00;333.33
212.00;303.03
223.00;400
234.00;370.37
244.00;400
254.00;303.03
266.00;400
276.00;466.67
287.00;333.33
297.00;363.64
309.00;444.44
319.00;400
330.00;518.52
340.00;303.03
351.00;333.33
362.00;400
372.00;400
384.00;400
394.00;400
405.00;444.44
415.00;400
427.00;444.44
437.00;400
447.00;400
458.00;400
468.00;363.64
480.00;370.37
490.00;400
501.00;370.37
512.00;333.33
522.00;400
533.00;333.33
543.00;400
555.00;400
565.00;400
576.00;370.37
586.00;400
598.00;370.37
608.00;333.33
618.00;466.67
629.00;363.64
640.00;533.33
651.00;533.33
661.00;400
672.00;444.44
683.00;400
693.00;400
704.00;466.67
714.00;400
726.00;533.33
736.00;400
747.00;444.44
757.00;363.64
769.00;444.44
779.00;400
789.00;400
800.00;424.24
811.00;400
822.00;533.33
832.00;400
843.00;444.44
854.00;466.67
865.00;444.44
875.00;400
885.00;424.24
897.00;400
907.00;400
918.00;518.52
928.00;484.85
940.00;592.59
950.00;533.33
960.00;400
971.00;303.03
982.00;533.33
993.00;400
1003.00;466.67
1014.00;333.33
1025.00;533.33
1036.00;444.44
1046.00;400
1057.00;466.67
1068.00;333.33
1079.00;444.44
1089.00;533.33
1100.00;533.33
1111.00;466.67
1122.00;370.37
1132.00;400
1143.00;333.33
1154.00;466.67
1165.00;592.59
1175.00;466.67
1186.00;533.33
1197.00;400
1208.00;444.44
1218.00;400
1229.00;400
1240.00;466.67
1251.00;518.52
1261.00;466.67
1272.00;533.33
1283.00;400
1294.00;444.44
1304.00;400
1315.00;333.33
1326.00;333.33
1336.00;400
1347.00;466.67
1357.00;303.03
1369.00;466.67
1379.00;600
1390.00;400
1400.00;363.64
1412.00;333.33
1422.00;400
1433.00;333.33
1443.00;484.85
1455.00;333.33
1465.00;400
1476.00;400
1486.00;363.64
1498.00;400
1508.00;400
1519.00;400
1529.00;424.24
1541.00;533.33
1551.00;466.67
1562.00;400
1572.00;484.85
1584.00;600
1594.00;400
1605.00;400
1615.00;363.64
1627.00;666.67
1637.00;333.33
1648.00;444.44
1658.00;303.03
1670.00;444.44
1680.00;333.33
1691.00;444.44
1701.00;363.64
1713.00;444.44
1723.00;400
1734.00;444.44
1744.00;303.03
1756.00;370.37
1766.00;333.33
1777.00;518.52
1787.00;363.64
1799.00;370.37
1809.00;466.67
1820.00;444.44
1830.00;484.85
1842.00;518.52
1852.00;466.67
1863.00;518.52
1873.00;303.03
1885.00;444.44
1895.00;333.33
1906.00;518.52
1916.00;424.24
1928.00;444.44
1938.00;400
1948.00;400
1959.00;363.64
1970.00;333.33
1981.00;533.33
1991.00;466.67
2002.00;363.64
2013.00;533.33
2024.00;466.67
2034.00;466.67
2045.00;303.03
2056.00;400
2067.00;400
2077.00;400
2088.00;303.03
2099.00;333.33
2110.00;400
2120.00;333.33
2131.00;424.24
