Time;Meting
0;0
10;66.67
20;66.67
30;66.67
41;60.61
52;133.33
62;133.33
73;200
83;181.82
95.00;222.22
105;200
115;200
126.00;242.42
137.00;266.67
148.00;266.67
158;266.67
169.00;333.33
180.00;266.67
191.00;296.3
201.00;266.67
211.00;242.42
223.00;333.33
233.00;266.67
244.00;266.67
254.00;242.42
266.00;370.37
276.00;266.67
286.00;266.67
297.00;242.42
308.00;266.67
319.00;266.67
329.00;400
340.00;266.67
351.00;333.33
362.00;296.3
372.00;466.67
382.00;242.42
394.00;400
404.00;266.67
415.00;333.33
425.00;303.03
437.00;370.37
447.00;333.33
458.00;370.37
468.00;303.03
479.00;266.67
490.00;333.33
500.00;333.33
512.00;333.33
522.00;400
533.00;296.3
543.00;333.33
553.00;303.03
565.00;333.33
575.00;333.33
586.00;266.67
596.00;303.03
608.00;370.37
618.00;333.33
629.00;444.44
640.00;266.67
650.00;333.33
661.00;333.33
671.00;333.33
683.00;333.33
693.00;266.67
704.00;370.37
714.00;333.33
726.00;296.3
736.00;333.33
746.00;333.33
757.00;303.03
768.00;333.33
779.00;266.67
789.00;333.33
800.00;370.37
811.00;333.33
821.00;400
832.00;333.33
842.00;333.33
854.00;333.33
864.00;266.67
875.00;370.37
885.00;303.03
897.00;296.3
907.00;400
917.00;333.33
928.00;303.03
939.00;333.33
950.00;266.67
960.00;333.33
971.00;370.37
982.00;333.33
993.00;370.37
1003.00;266.67
1013.00;303.03
1025.00;333.33
1035.00;333.33
1046.00;333.33
1056.00;303.03
1068.00;266.67
1078.00;333.33
1089.00;333.33
1099.00;303.03
1111.00;400
1121.00;333.33
1132.00;333.33
1142.00;303.03
1154.00;333.33
1164.00;400
1175.00;333.33
1185.00;303.03
1197.00;333.33
1207.00;333.33
1218.00;333.33
1228.00;303.03
1240.00;333.33
1250.00;333.33
1261.00;370.37
1271.00;303.03
1283.00;444.44
1293.00;400
1304.00;370.37
1314.00;363.64
1326.00;296.3
1336.00;333.33
1347.00;370.37
1357.00;242.42
1369.00;370.37
1379.00;266.67
1390.00;370.37
1400.00;303.03
1412.00;370.37
1422.00;333.33
1433.00;370.37
1443.00;242.42
1455.00;370.37
1465.00;333.33
1476.00;296.3
1486.00;363.64
1498.00;444.44
1508.00;266.67
1519.00;370.37
1529.00;242.42
1540.00;333.33
1551.00;333.33
1561.00;266.67
1572.00;363.64
1583.00;333.33
1594.00;333.33
1604.00;466.67
1615.00;303.03
1626.00;333.33
1637.00;333.33
1647.00;333.33
1658.00;303.03
1669.00;333.33
1680.00;266.67
1690.00;400
1701.00;303.03
1712.00;333.33
1723.00;333.33
1733.00;266.67
1744.00;303.03
1755.00;333.33
1766.00;333.33
1776.00;400
1787.00;363.64
1798.00;466.67
1809.00;444.44
1819.00;333.33
1830.00;333.33
1841.00;333.33
1852.00;370.37
1862.00;333.33
1873.00;400
1884.00;266.67
1895.00;370.37
1905.00;333.33
1916.00;466.67
1927.00;333.33
1938.00;370.37
1948.00;333.33
1959.00;333.33
1970.00;333.33
1981.00;370.37
1991.00;333.33
2002.00;400
2013.00;400
2024.00;444.44
2034.00;333.33
2045.00;333.33
2056.00;333.33
2067.00;518.52
2077.00;400
2088.00;266.67
2099.00;333.33
2110.00;296.3
2120.00;333.33
2131.00;400
