Time;Meting
0;0
10;0
20;66.67
30;66.67
41;66.67
52;66.67
62;133.33
73;74.07
83;121.21
94.00;66.67
105;148.15
115;133.33
126.00;200
137.00;133.33
147.00;133.33
158;133.33
168.00;121.21
180.00;200
190.00;200
201.00;222.22
211.00;181.82
223.00;148.15
233.00;200
243.00;133.33
254.00;181.82
265.00;200
276.00;222.22
286.00;200
297.00;133.33
308.00;200
318.00;200
329.00;200
339.00;242.42
351.00;266.67
361.00;200
372.00;222.22
382.00;181.82
394.00;296.3
404.00;200
414.00;266.67
425.00;181.82
436.00;266.67
447.00;296.3
457.00;200
468.00;200
479.00;266.67
489.00;200
500.00;266.67
510.00;181.82
522.00;266.67
532.00;266.67
543.00;222.22
553.00;181.82
565.00;222.22
575.00;200
585.00;266.67
596.00;181.82
607.00;266.67
618.00;296.3
628.00;266.67
640.00;222.22
650.00;266.67
660.00;200
671.00;200
681.00;242.42
693.00;266.67
703.00;266.67
714.00;296.3
724.00;181.82
736.00;222.22
746.00;200
756.00;266.67
768.00;266.67
778.00;266.67
789.00;296.3
799.00;266.67
811.00;296.3
821.00;266.67
831.00;266.67
842.00;200
852.00;181.82
864.00;200
874.00;266.67
885.00;296.3
896.00;266.67
907.00;296.3
917.00;266.67
927.00;266.67
939.00;200
949.00;266.67
960.00;266.67
970.00;266.67
982.00;296.3
992.00;200
1002.00;200
1013.00;181.82
1024.00;200
1035.00;200
1045.00;266.67
1056.00;181.82
1067.00;266.67
1078.00;266.67
1088.00;266.67
1099.00;242.42
1110.00;266.67
1121.00;266.67
1131.00;266.67
1142.00;242.42
1153.00;266.67
1164.00;266.67
1174.00;266.67
1185.00;242.42
1196.00;266.67
1207.00;266.67
1217.00;266.67
1228.00;266.67
1239.00;266.67
1250.00;296.3
1260.00;266.67
1271.00;266.67
1282.00;266.67
1293.00;296.3
1303.00;266.67
1314.00;266.67
1325.00;266.67
1336.00;296.3
1346.00;266.67
1357.00;266.67
1368.00;266.67
1379.00;296.3
1389.00;266.67
1400.00;266.67
1411.00;266.67
1422.00;296.3
1432.00;266.67
1442.00;242.42
1454.00;266.67
1464.00;266.67
1475.00;266.67
1485.00;242.42
1497.00;266.67
1507.00;266.67
1518.00;266.67
1528.00;242.42
1540.00;266.67
1550.00;266.67
1561.00;266.67
1571.00;181.82
1583.00;200
1593.00;200
1604.00;200
1614.00;181.82
1626.00;266.67
1636.00;266.67
1647.00;266.67
1657.00;242.42
1669.00;296.3
1679.00;266.67
1690.00;296.3
1700.00;242.42
1712.00;296.3
1722.00;266.67
1733.00;296.3
1743.00;242.42
1755.00;296.3
1765.00;266.67
1776.00;222.22
1786.00;242.42
1798.00;222.22
1808.00;200
1819.00;296.3
1829.00;181.82
1841.00;296.3
1851.00;266.67
1862.00;222.22
1872.00;181.82
1884.00;296.3
1894.00;266.67
1904.00;200
1915.00;242.42
1926.00;266.67
1937.00;266.67
1947.00;266.67
1958.00;242.42
1969.00;266.67
1980.00;266.67
1990.00;266.67
2001.00;242.42
2012.00;266.67
2023.00;266.67
2033.00;200
2044.00;181.82
2055.00;200
2066.00;266.67
2076.00;200
2087.00;181.82
2098.00;266.67
2109.00;266.67
2119.00;266.67
2130.00;242.42
