Time;Meting
0;0
10;66.67
20;66.67
30;200
41;181.82
52;200
63;222.22
73;266.67
83;242.42
95.00;296.3
105;333.33
116;370.37
126.00;242.42
137.00;333.33
148.00;333.33
158;333.33
169.00;363.64
180.00;400
191.00;370.37
201.00;333.33
211.00;303.03
223.00;400
233.00;400
244.00;333.33
254.00;303.03
266.00;444.44
276.00;333.33
287.00;444.44
297.00;363.64
308.00;333.33
319.00;400
329.00;333.33
340.00;303.03
351.00;400
362.00;444.44
372.00;400
384.00;444.44
394.00;400
404.00;400
415.00;333.33
425.00;303.03
437.00;370.37
447.00;333.33
458.00;444.44
468.00;303.03
479.00;333.33
490.00;266.67
500.00;333.33
512.00;333.33
522.00;400
533.00;444.44
543.00;333.33
555.00;370.37
565.00;333.33
575.00;333.33
586.00;333.33
596.00;363.64
608.00;333.33
618.00;400
629.00;296.3
640.00;333.33
651.00;444.44
661.00;333.33
671.00;333.33
683.00;333.33
693.00;333.33
704.00;333.33
714.00;400
726.00;444.44
736.00;333.33
746.00;333.33
757.00;363.64
768.00;333.33
779.00;333.33
789.00;400
800.00;370.37
811.00;333.33
822.00;370.37
832.00;400
842.00;400
854.00;400
864.00;333.33
875.00;333.33
885.00;303.03
897.00;370.37
907.00;400
918.00;444.44
928.00;303.03
939.00;333.33
950.00;333.33
960.00;333.33
971.00;370.37
982.00;400
993.00;370.37
1003.00;333.33
1014.00;333.33
1025.00;400
1036.00;444.44
1046.00;333.33
1056.00;363.64
1068.00;333.33
1078.00;333.33
1089.00;333.33
1099.00;303.03
1111.00;400
1121.00;333.33
1132.00;333.33
1142.00;242.42
1154.00;333.33
1164.00;333.33
1175.00;400
1185.00;363.64
1197.00;333.33
1207.00;333.33
1218.00;333.33
1228.00;303.03
1240.00;400
1250.00;400
1261.00;400
1271.00;303.03
1283.00;333.33
1293.00;333.33
1304.00;333.33
1314.00;363.64
1326.00;333.33
1336.00;266.67
1347.00;333.33
1357.00;303.03
1369.00;400
1379.00;333.33
1390.00;370.37
1400.00;303.03
1412.00;370.37
1422.00;333.33
1433.00;444.44
1443.00;363.64
1455.00;370.37
1465.00;333.33
1476.00;370.37
1486.00;303.03
1498.00;444.44
1508.00;333.33
1519.00;296.3
1529.00;303.03
1541.00;370.37
1551.00;400
1562.00;444.44
1572.00;303.03
1584.00;444.44
1594.00;333.33
1605.00;444.44
1615.00;363.64
1627.00;370.37
1637.00;333.33
1648.00;370.37
1658.00;303.03
1670.00;370.37
1680.00;400
1690.00;333.33
1701.00;303.03
1712.00;333.33
1723.00;333.33
1733.00;333.33
1744.00;363.64
1755.00;333.33
1766.00;333.33
1776.00;266.67
1787.00;303.03
1798.00;400
1809.00;400
1819.00;333.33
1830.00;303.03
1841.00;333.33
1852.00;333.33
1862.00;400
1873.00;424.24
1884.00;333.33
1895.00;400
1905.00;333.33
1916.00;303.03
1927.00;400
1938.00;400
1948.00;333.33
1959.00;242.42
1970.00;400
1981.00;370.37
1991.00;400
2002.00;333.33
2013.00;333.33
2024.00;370.37
2034.00;333.33
2045.00;400
2056.00;333.33
2067.00;370.37
2077.00;333.33
2088.00;400
2099.00;333.33
2110.00;444.44
2120.00;400
2131.00;400
