Time;Meting
0;0
10;66.67
20;66.67
30;133.33
41;121.21
52;200
63;222.22
73;200
83;242.42
95.00;222.22
105;200
116;370.37
126.00;242.42
137.00;266.67
148.00;400
158;400
169.00;303.03
180.00;266.67
191.00;444.44
201.00;466.67
212.00;266.67
223.00;333.33
233.00;333.33
244.00;333.33
254.00;303.03
266.00;296.3
276.00;400
287.00;370.37
297.00;303.03
308.00;333.33
319.00;333.33
329.00;333.33
340.00;303.03
351.00;400
362.00;370.37
372.00;333.33
384.00;370.37
394.00;333.33
404.00;333.33
415.00;333.33
425.00;303.03
437.00;333.33
447.00;333.33
458.00;370.37
468.00;363.64
479.00;466.67
490.00;333.33
500.00;333.33
512.00;466.67
522.00;333.33
533.00;370.37
543.00;333.33
555.00;444.44
565.00;400
575.00;333.33
586.00;333.33
596.00;363.64
608.00;333.33
618.00;400
629.00;370.37
640.00;533.33
651.00;370.37
661.00;333.33
671.00;333.33
683.00;400
693.00;333.33
704.00;333.33
714.00;400
726.00;370.37
736.00;333.33
746.00;333.33
757.00;303.03
768.00;400
779.00;333.33
789.00;333.33
800.00;370.37
811.00;400
822.00;296.3
832.00;333.33
842.00;400
854.00;333.33
864.00;333.33
875.00;333.33
885.00;363.64
897.00;444.44
907.00;333.33
918.00;370.37
928.00;363.64
939.00;333.33
950.00;333.33
960.00;333.33
971.00;370.37
982.00;333.33
993.00;296.3
1003.00;400
1014.00;333.33
1025.00;333.33
1036.00;370.37
1046.00;333.33
1057.00;400
1068.00;400
1079.00;370.37
1089.00;333.33
1099.00;303.03
1111.00;333.33
1121.00;333.33
1132.00;333.33
1142.00;363.64
1154.00;333.33
1164.00;333.33
1175.00;333.33
1185.00;363.64
1197.00;333.33
1207.00;333.33
1218.00;333.33
1228.00;363.64
1240.00;333.33
1250.00;266.67
1261.00;333.33
1271.00;303.03
1283.00;333.33
1293.00;266.67
1304.00;333.33
1314.00;303.03
1326.00;333.33
1336.00;266.67
1347.00;333.33
1357.00;303.03
1369.00;333.33
1379.00;333.33
1390.00;333.33
1400.00;363.64
1412.00;370.37
1422.00;266.67
1433.00;370.37
1443.00;363.64
1455.00;370.37
1465.00;266.67
1476.00;370.37
1486.00;303.03
1498.00;370.37
1508.00;333.33
1519.00;518.52
1529.00;303.03
1541.00;370.37
1551.00;400
1562.00;444.44
1572.00;303.03
1584.00;370.37
1594.00;333.33
1605.00;444.44
1615.00;303.03
1627.00;370.37
1637.00;333.33
1648.00;444.44
1658.00;303.03
1670.00;296.3
1680.00;333.33
1690.00;400
1701.00;303.03
1712.00;333.33
1723.00;333.33
1733.00;400
1744.00;303.03
1755.00;333.33
1766.00;333.33
1776.00;333.33
1787.00;363.64
1798.00;333.33
1809.00;400
1819.00;333.33
1830.00;363.64
1841.00;333.33
1852.00;333.33
1862.00;333.33
1873.00;363.64
1884.00;333.33
1895.00;266.67
1905.00;333.33
1916.00;363.64
1927.00;333.33
1938.00;333.33
1948.00;333.33
1959.00;303.03
1970.00;400
1981.00;370.37
1991.00;266.67
2002.00;333.33
2013.00;400
2024.00;370.37
2034.00;266.67
2045.00;333.33
2056.00;333.33
2067.00;370.37
2077.00;333.33
2088.00;333.33
2099.00;400
2110.00;370.37
2120.00;333.33
2131.00;266.67
