pwm,kdc,tau
75,0.3517332026322845,0.18163184303595897
100,0.30797770242835437,0.11567910273634052
125,0.26489805006464406,0.09177820763502761
150,0.22911492409803785,0.06621114919562315
175,0.20867026035649575,0.060694956541686496
200,0.19329040112648882,0.06092746224566464
225,0.17899826974404937,0.047234764776458306
250,0.15559785601717757,0.03787805771046485
