pwm,kdc,tau
75,0.35176465247818595,0.1690141329910009
100,0.32152283461770786,0.13378534587799207
125,0.28323432410149146,0.11262240229411678
150,0.2434866499531893,0.06776477232711674
175,0.21374818164402842,0.05471066643744678
200,0.19192555226735267,0.04154999389648499
225,0.18240429132073457,0.03405986138857943
250,0.1748983223493236,0.02512989886714237
